,NIC,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-23,2023-12-24,2023-12-25,2023-12-28,2023-12-29,2023-12-30,2023-12-31,2024-01-01,2024-01-02,2024-01-09,2024-01-10,2024-01-20,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-11,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-17,2024-02-18,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-24,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-03-07
36,606576778,138712.74,138732.185,138784.7,138835.68,138888.815,139101.99,139161.61000000002,139215.36,139310.655,139364.02000000002,139418.005,139467.35,139513.78,139514.81,140023.37,140070.22000000003,140382.175,140475.5,140525.595,140576.285,140625.19499999998,140675.0,140729.375,140782.82,140828.605,140877.83,140927.775,140978.305,141460.36000000002,141507.81,141556.55000000002,141606.675,141655.16499999998,141703.305,141752.705,141804.805,141849.31,141900.555,141950.51,141999.71,142032.105,142085.545,142139.98500000002,142185.715,142238.305,142285.22999999998,142673.815
37,606577555,54620.76125,54624.295,54634.88625,54645.704374999994,54654.065625,54687.082500000004,54695.695,54705.75125,54720.66437500001,54727.349375,54736.6325,54744.673749999994,54752.29625,54752.832500000004,54866.63375000001,54879.613750000004,54950.766875,54970.670625,54981.453125,54989.82375,54999.0775,55007.705624999995,55019.813125,55029.355,55055.22,55065.733125,55077.53875,55091.706875,55181.556875,55199.211875,55210.626875,55225.029375000006,55236.419375,55245.035625000004,55254.1425,55266.72312499999,55278.246875,55290.06375,55301.205,55309.1125,55316.8125,55326.7425,55341.13125,55356.399375,55367.9225,55378.39874999999,55494.16875
38,606578332,19.0675,19.068749999999998,19.07625,19.08125,19.087500000000002,19.1075,19.115000000000002,19.12,19.131875,19.138125,19.144374999999997,19.148125,19.151875,19.154375,19.233125,19.241875,19.291875,19.3075,19.315,19.322499999999998,19.330000000000002,19.336875,19.345,19.3525,19.36375,19.369999999999997,19.377499999999998,19.385625,19.458125,19.4675,19.4775,19.486250000000002,19.494999999999997,19.503125,19.510624999999997,19.518124999999998,19.525625,19.5325,19.540625,19.55,19.558125,19.565625,19.573124999999997,19.58125,19.59,19.59625,19.645625
39,606579119,181304.5325,181316.515,181351.77500000002,181387.18,181416.1425,181546.35249999998,181579.155,181608.4675,181705.90499999997,181744.425,181779.04,181816.97,181852.08000000002,181882.21,182245.97,182281.265,182480.755,182550.385,182577.15,182605.16999999998,182638.495,182676.08000000002,182704.05,182736.16,182776.485,182805.475,182838.97000000003,182875.61,183177.66499999998,183215.175,183242.09499999997,183277.605,183308.76,183340.08000000002,183378.925,183418.4,183455.27000000002,183485.04,183519.78999999998,183554.49,183588.365,183617.83,183659.185,183697.87,183727.27000000002,183761.97,184089.385
40,606580955,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.248125,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.2500000000002,1753.251875,1753.2537499999999,1753.2537499999999,1753.2537499999999,1753.2537499999999,1753.2537499999999,1753.2575
41,606581732,364575.43,364601.62,364668.69999999995,364729.54,364798.39,365045.24,365113.31,365174.91,365312.89,365385.14,365467.15,365532.6,365597.06,365597.06,366407.6,366483.55,366960.99,367109.2,367189.34,367246.47,367319.1,367372.25,367443.22,367528.44,367612.25,367744.14,367830.83,367886.83,368452.91,368512.73,368573.23,368644.62000000005,368713.42,368769.01,368831.63999999996,368893.16,368951.69,369041.80000000005,369140.76,369211.69,369263.9,369351.15,369442.03,369521.08999999997,369597.42,369661.61000000004,370234.20999999996
42,606582519,172229.365,172244.36,172323.345,172368.115,172418.825,172649.27,172721.575,172769.555,172883.77000000002,172929.685,173001.91499999998,173051.275,173094.065,173094.07,173758.265,173828.40500000003,174224.55000000002,174350.615,174410.995,174463.95,174519.155,174577.5,174643.65000000002,174718.155,174774.135,174846.47999999998,174910.31,174992.40999999997,175538.12,175593.7,175641.25,175712.95,175785.585,175828.59499999997,175905.98500000002,175975.915,176033.235,176095.25,176160.07,176240.055,176283.295,176358.225,176436.74,176499.085,176562.715,176631.56,177227.47
43,606583306,79501.72875,79515.23875,79550.70375,79577.92875,79612.555,79736.855,79771.65125,79796.1475,79853.6975,79881.67375,79915.815,79945.2475,79969.35375000001,79970.2775,80335.4875,80368.62999999999,80582.99125,80652.705,80687.36624999999,80721.5575,80754.75125,80792.3125,80831.24,80868.21625,80906.85,80947.10250000001,80984.03,81019.6975,81370.6325,81402.86124999999,81437.56125,81473.51875,81509.60125,81547.03125,81582.70000000001,81623.25875,81656.3625,81692.98375,81728.96125,81762.98375,81787.0475,81825.14499999999,81864.8625,81905.71875,81947.38375,81983.215,82252.48375
44,606584183,445199.56,445232.685,445346.7475,445437.77,445561.25000000006,446030.04250000004,446147.40249999997,446235.6975,446505.28500000003,446616.81,446736.915,446833.61,446888.85,446907.8575,448057.485,448152.69,449077.625,449368.1425,449541.21499999997,449719.7525,449890.38,450061.23,450238.07749999996,450416.9825,450546.045,450725.305,450904.7725,451085.61,452772.43500000006,452898.9975,453076.04,453269.9175,453456.32,453644.49000000005,453822.9125,454015.57,454149.35,454340.86750000005,454544.00249999994,454739.17,454876.7125,455068.97000000003,455247.325,455374.85500000004,455568.2075,455753.58,457145.2475
45,606585860,40.699375,40.70125,40.7075,40.711875,40.71875,40.7425,40.74875,40.7525,40.7625,40.7675,40.771875,40.775625,40.778125,40.778125,40.825,40.831875,40.8925,40.904375,40.9125,40.92125,40.929375,40.9375,40.946875,40.955625,40.961875,40.970625,40.979375000000005,40.988749999999996,41.07125,41.076875,41.085625,41.095625,41.105000000000004,41.114375,41.123125,41.1325,41.13875,41.14875,41.15875,41.168125,41.17375,41.183125000000004,41.192499999999995,41.198125000000005,41.208124999999995,41.216875,41.28875
